name,atom,atom_name,fp,fp_round
HSP90-lig1,2,C1,-19.59049827147254,-19.6
HSP90-lig1,12,C10,-19.316389958403228,-19.3
HSP90-lig1,13,C11,-19.51626462140147,-19.5
HSP90-lig1,15,C12,-19.39740569196242,-19.4
HSP90-lig1,16,C13,-19.22762633190815,-19.2
HSP90-lig1,17,C14,-19.264924778346348,-19.3
HSP90-lig1,18,C15,-19.46467718818943,-19.5
HSP90-lig1,3,C2,-19.850041519470235,-19.9
HSP90-lig1,4,C3,-19.784818064727332,-19.8
HSP90-lig1,5,C4,-19.913398186491055,-19.9
HSP90-lig1,7,C5,-19.630296808754895,-19.6
HSP90-lig1,8,C6,-19.621815226717864,-19.6
HSP90-lig1,9,C7,-19.611097790972934,-19.6
HSP90-lig1,10,C8,-19.673929315275274,-19.7
HSP90-lig1,11,C9,-19.38642172292566,-19.4
HSP90-lig1,1,N1,-20.1611479204445,-20.2
HSP90-lig1,6,O1,-18.994243439388182,-19.0
HSP90-lig1,14,O2,-18.82579230600097,-18.8
HSP90-lig1,19,O3,-18.69741809777488,-18.7
