block,t_start_ns,t_end_ns,t_mid_ns,atom,FP
0,0.0,4.99,2.495,N1,-20.5008936767449
0,0.0,4.99,2.495,C1,-19.880745816373604
0,0.0,4.99,2.495,C2,-19.858908851931073
0,0.0,4.99,2.495,C3,-20.163621994367052
0,0.0,4.99,2.495,C4,-20.3340628632914
0,0.0,4.99,2.495,O1,-19.198593408626962
0,0.0,4.99,2.495,C5,-19.874457642778104
0,0.0,4.99,2.495,C6,-20.084291437398818
0,0.0,4.99,2.495,C7,-19.70296319291506
0,0.0,4.99,2.495,C8,-19.91374150849074
0,0.0,4.99,2.495,C9,-19.402237178063178
0,0.0,4.99,2.495,C10,-19.488794766923473
0,0.0,4.99,2.495,C11,-19.51552833324799
0,0.0,4.99,2.495,O2,-18.95834518057475
0,0.0,4.99,2.495,C12,-19.56481031895114
0,0.0,4.99,2.495,C13,-19.258262073746288
0,0.0,4.99,2.495,C14,-19.433817504715886
0,0.0,4.99,2.495,C15,-19.618280669511332
0,0.0,4.99,2.495,O3,-18.633469338144536
1,5.0,9.99,7.495,N1,-20.2587634097008
1,5.0,9.99,7.495,C1,-19.785517792713847
1,5.0,9.99,7.495,C2,-19.859505714803742
1,5.0,9.99,7.495,C3,-20.05111962410428
1,5.0,9.99,7.495,C4,-20.199213757485392
1,5.0,9.99,7.495,O1,-18.943439715090335
1,5.0,9.99,7.495,C5,-19.735167842237814
1,5.0,9.99,7.495,C6,-19.627806797834406
1,5.0,9.99,7.495,C7,-19.56688898865312
1,5.0,9.99,7.495,C8,-19.932659280778108
1,5.0,9.99,7.495,C9,-19.301465818164417
1,5.0,9.99,7.495,C10,-19.479478828577683
1,5.0,9.99,7.495,C11,-19.41523261793092
1,5.0,9.99,7.495,O2,-18.913642860077474
1,5.0,9.99,7.495,C12,-19.339004684132806
1,5.0,9.99,7.495,C13,-19.20823534065076
1,5.0,9.99,7.495,C14,-19.2189877327956
1,5.0,9.99,7.495,C15,-19.34217769782604
1,5.0,9.99,7.495,O3,-18.549853359088164
2,10.0,14.99,12.495000000000001,N1,-20.32844263207125
2,10.0,14.99,12.495000000000001,C1,-19.807296688734912
2,10.0,14.99,12.495000000000001,C2,-19.828071131526176
2,10.0,14.99,12.495000000000001,C3,-19.9476944644493
2,10.0,14.99,12.495000000000001,C4,-20.0515046041033
2,10.0,14.99,12.495000000000001,O1,-18.910281784391756
2,10.0,14.99,12.495000000000001,C5,-19.628297232554026
2,10.0,14.99,12.495000000000001,C6,-19.803857999550956
2,10.0,14.99,12.495000000000001,C7,-19.74667480057327
2,10.0,14.99,12.495000000000001,C8,-19.82861219972857
2,10.0,14.99,12.495000000000001,C9,-19.428003209422936
2,10.0,14.99,12.495000000000001,C10,-19.254963265571117
2,10.0,14.99,12.495000000000001,C11,-19.542251077065973
2,10.0,14.99,12.495000000000001,O2,-18.905164620448463
2,10.0,14.99,12.495000000000001,C12,-19.59267111833571
2,10.0,14.99,12.495000000000001,C13,-19.153469962554695
2,10.0,14.99,12.495000000000001,C14,-19.29571240700304
2,10.0,14.99,12.495000000000001,C15,-19.378736445528666
2,10.0,14.99,12.495000000000001,O3,-18.458419486188422
3,15.0,19.99,17.494999999999997,N1,-20.1611479204445
3,15.0,19.99,17.494999999999997,C1,-19.59049827147254
3,15.0,19.99,17.494999999999997,C2,-19.850041519470235
3,15.0,19.99,17.494999999999997,C3,-19.784818064727332
3,15.0,19.99,17.494999999999997,C4,-19.913398186491055
3,15.0,19.99,17.494999999999997,O1,-18.994243439388182
3,15.0,19.99,17.494999999999997,C5,-19.630296808754895
3,15.0,19.99,17.494999999999997,C6,-19.621815226717864
3,15.0,19.99,17.494999999999997,C7,-19.611097790972934
3,15.0,19.99,17.494999999999997,C8,-19.673929315275274
3,15.0,19.99,17.494999999999997,C9,-19.38642172292566
3,15.0,19.99,17.494999999999997,C10,-19.316389958403228
3,15.0,19.99,17.494999999999997,C11,-19.51626462140147
3,15.0,19.99,17.494999999999997,O2,-18.82579230600097
3,15.0,19.99,17.494999999999997,C12,-19.39740569196242
3,15.0,19.99,17.494999999999997,C13,-19.22762633190815
3,15.0,19.99,17.494999999999997,C14,-19.264924778346348
3,15.0,19.99,17.494999999999997,C15,-19.46467718818943
3,15.0,19.99,17.494999999999997,O3,-18.69741809777488
